seller_id;quantity;date
216;25;2021-06-01
213;20;2021-06-04
408;17;2021-06-17
336;20;2021-06-28
101;21;2021-06-09
177;68;2021-06-14
410;25;2021-06-15
236;22;2021-06-13
350;32;2021-06-22
449;46;2021-06-14
300;17;2021-06-10
34;17;2021-06-19
242;14;2021-06-06
434;14;2021-06-11
362;15;2021-06-04
201;9;2021-06-21
6;91;2021-06-23
296;30;2021-06-24
425;15;2021-06-13
22;15;2021-06-07
27;8;2021-06-27
303;18;2021-06-01
318;22;2021-06-28
495;10;2021-06-02
259;15;2021-06-06
397;26;2021-06-05
6;18;2021-06-27
422;51;2021-06-14
278;19;2021-06-15
436;11;2021-06-28
107;9;2021-06-04
205;20;2021-06-17
441;16;2021-06-07
226;28;2021-06-19
466;13;2021-06-28
14;14;2021-06-18
456;25;2021-06-14
343;31;2021-06-13
60;11;2021-06-07
459;29;2021-06-23
31;6;2021-06-17
52;5;2021-06-07
464;12;2021-06-16
60;10;2021-06-04
303;15;2021-06-20
178;20;2021-06-18
166;14;2021-06-22
162;31;2021-06-18
169;62;2021-06-14
414;16;2021-06-01
267;19;2021-06-12
235;27;2021-06-01
224;12;2021-06-11
18;26;2021-06-20
132;16;2021-06-12
209;7;2021-06-17
171;10;2021-06-07
178;15;2021-06-21
397;14;2021-06-22
258;12;2021-06-26
470;31;2021-06-14
192;15;2021-06-26
432;11;2021-06-07
276;22;2021-06-26
35;17;2021-06-19
396;12;2021-06-26
359;8;2021-06-21
294;13;2021-06-02
499;29;2021-06-28
178;18;2021-06-25
153;41;2021-06-24
85;24;2021-06-15
17;11;2021-06-19
225;21;2021-06-02
121;11;2021-06-08
115;15;2021-06-09
407;26;2021-06-10
365;9;2021-06-10
309;17;2021-06-21
114;48;2021-06-23
158;31;2021-06-04
274;19;2021-06-18
427;21;2021-06-12
354;11;2021-06-10
71;29;2021-06-18
68;34;2021-06-12
233;16;2021-06-13
39;20;2021-06-17
396;22;2021-06-21
468;5;2021-06-10
158;24;2021-06-10
192;45;2021-06-24
91;20;2021-06-12
36;27;2021-06-04
49;25;2021-06-17
478;24;2021-06-09
86;22;2021-06-03
301;23;2021-06-16
293;17;2021-06-26
314;8;2021-06-04
67;21;2021-06-20
304;17;2021-06-08
69;55;2021-06-13
322;21;2021-06-21
42;12;2021-06-04
102;20;2021-06-04
67;59;2021-06-24
238;9;2021-06-26
88;20;2021-06-17
348;9;2021-06-09
341;58;2021-06-24
112;9;2021-06-14
100;23;2021-06-07
62;11;2021-06-07
7;15;2021-06-21
172;52;2021-06-14
187;10;2021-06-22
183;11;2021-06-11
249;18;2021-06-23
331;29;2021-06-07
437;24;2021-06-23
473;17;2021-06-05
144;15;2021-06-15
166;24;2021-06-08
193;31;2021-06-27
1;133;2021-06-14
463;18;2021-06-20
423;15;2021-06-12
388;4;2021-06-05
113;18;2021-06-05
369;13;2021-06-04
303;14;2021-06-21
307;21;2021-06-10
230;10;2021-06-18
161;23;2021-06-16
198;23;2021-06-17
383;14;2021-06-18
253;31;2021-06-27
74;21;2021-06-08
64;18;2021-06-04
95;8;2021-06-03
124;15;2021-06-18
59;18;2021-06-10
368;23;2021-06-20
35;16;2021-06-22
147;13;2021-06-20
312;27;2021-06-23
112;51;2021-06-23
102;11;2021-06-12
273;11;2021-06-17
258;12;2021-06-08
219;60;2021-06-13
485;7;2021-06-27
345;29;2021-06-23
35;22;2021-06-21
474;11;2021-06-10
458;13;2021-06-22
39;11;2021-06-18
470;18;2021-06-11
173;11;2021-06-26
405;10;2021-06-03
465;20;2021-06-03
206;23;2021-06-27
414;18;2021-06-22
164;11;2021-06-01
487;10;2021-06-13
216;12;2021-06-06
173;41;2021-06-14
378;26;2021-06-02
363;21;2021-06-20
24;37;2021-06-08
340;12;2021-06-25
177;25;2021-06-13
464;22;2021-06-04
348;4;2021-06-15
398;26;2021-06-02
365;10;2021-06-26
305;15;2021-06-07
212;30;2021-06-06
25;9;2021-06-27
8;22;2021-06-08
283;15;2021-06-13
188;25;2021-06-23
279;14;2021-06-03
399;11;2021-06-21
448;21;2021-06-03
256;11;2021-06-13
390;5;2021-06-19
40;41;2021-06-23
15;12;2021-06-28
350;16;2021-06-12
185;73;2021-06-13
474;22;2021-06-11
115;24;2021-06-05
195;13;2021-06-19
113;14;2021-06-03
283;21;2021-06-16
485;22;2021-06-01
70;8;2021-06-03
104;29;2021-06-02
492;35;2021-06-02
291;50;2021-06-13
46;42;2021-06-21
474;18;2021-06-28
131;17;2021-06-02
244;16;2021-06-16
420;10;2021-06-22
232;9;2021-06-27
83;10;2021-06-18
367;12;2021-06-26
428;48;2021-06-14
336;14;2021-06-04
104;78;2021-06-13
246;12;2021-06-09
270;12;2021-06-26
252;12;2021-06-17
103;5;2021-06-17
415;22;2021-06-18
11;148;2021-06-14
52;11;2021-06-18
314;22;2021-06-11
124;32;2021-06-10
169;11;2021-06-03
42;18;2021-06-14
276;18;2021-06-01
373;18;2021-06-27
74;21;2021-06-10
397;5;2021-06-20
402;20;2021-06-19
11;12;2021-06-03
438;31;2021-06-02
128;18;2021-06-17
462;10;2021-06-06
277;23;2021-06-25
21;23;2021-06-27
394;8;2021-06-03
149;57;2021-06-13
347;4;2021-06-17
32;11;2021-06-21
82;22;2021-06-04
126;16;2021-06-21
339;52;2021-06-13
60;17;2021-06-20
321;35;2021-06-15
311;6;2021-06-10
166;16;2021-06-12
96;39;2021-06-23
157;9;2021-06-16
107;16;2021-06-10
158;37;2021-06-23
40;29;2021-06-05
447;7;2021-06-25
453;23;2021-06-25
347;13;2021-06-09
456;12;2021-06-02
131;26;2021-06-05
67;17;2021-06-10
45;22;2021-06-07
14;8;2021-06-21
4;18;2021-06-17
235;7;2021-06-09
340;25;2021-06-12
213;24;2021-06-18
192;25;2021-06-23
10;24;2021-06-20
208;19;2021-06-27
98;13;2021-06-16
420;14;2021-06-21
288;3;2021-06-13
399;34;2021-06-13
145;23;2021-06-23
306;12;2021-06-09
148;26;2021-06-11
394;15;2021-06-17
112;13;2021-06-11
224;16;2021-06-04
250;32;2021-06-16
471;11;2021-06-21
444;14;2021-06-07
406;13;2021-06-17
261;26;2021-06-18
15;13;2021-06-10
425;21;2021-06-07
237;28;2021-06-15
142;10;2021-06-21
117;18;2021-06-28
395;19;2021-06-08
232;28;2021-06-07
61;13;2021-06-18
444;8;2021-06-09
14;17;2021-06-17
245;11;2021-06-19
478;11;2021-06-15
231;23;2021-06-21
44;6;2021-06-01
153;9;2021-06-27
353;10;2021-06-20
356;14;2021-06-20
9;19;2021-06-11
139;15;2021-06-11
110;39;2021-06-14
116;11;2021-06-04
419;26;2021-06-18
268;42;2021-06-21
395;17;2021-06-22
350;14;2021-06-09
376;11;2021-06-28
253;17;2021-06-19
446;14;2021-06-23
436;10;2021-06-18
27;6;2021-06-05
412;16;2021-06-24
272;43;2021-06-13
345;23;2021-06-18
120;79;2021-06-24
475;5;2021-06-06
300;18;2021-06-15
2;29;2021-06-26
214;28;2021-06-25
282;20;2021-06-25
17;11;2021-06-18
449;23;2021-06-08
13;17;2021-06-10
352;12;2021-06-19
310;28;2021-06-15
437;33;2021-06-14
12;17;2021-06-05
413;10;2021-06-09
60;10;2021-06-25
228;15;2021-06-18
83;13;2021-06-15
240;13;2021-06-04
323;12;2021-06-17
318;18;2021-06-05
122;76;2021-06-24
48;24;2021-06-25
86;21;2021-06-08
85;15;2021-06-06
58;40;2021-06-14
68;13;2021-06-04
315;17;2021-06-18
471;8;2021-06-03
112;10;2021-06-08
363;11;2021-06-19
146;10;2021-06-21
371;18;2021-06-12
275;12;2021-06-19
320;13;2021-06-10
475;7;2021-06-05
280;19;2021-06-03
371;18;2021-06-27
328;31;2021-06-11
9;125;2021-06-24
105;13;2021-06-20
126;4;2021-06-01
172;16;2021-06-26
300;13;2021-06-05
261;43;2021-06-14
98;9;2021-06-11
476;12;2021-06-25
402;6;2021-06-05
392;16;2021-06-15
483;26;2021-06-13
114;18;2021-06-10
486;11;2021-06-23
161;72;2021-06-14
378;12;2021-06-22
326;14;2021-06-08
67;43;2021-06-23
0;32;2021-06-06
244;33;2021-06-23
402;18;2021-06-16
130;22;2021-06-18
43;8;2021-06-08
110;20;2021-06-16
24;36;2021-06-12
464;14;2021-06-20
402;14;2021-06-24
298;15;2021-06-01
192;38;2021-06-08
432;17;2021-06-09
179;26;2021-06-26
56;5;2021-06-28
74;11;2021-06-07
105;8;2021-06-04
108;12;2021-06-25
354;10;2021-06-16
200;16;2021-06-04
163;19;2021-06-18
171;9;2021-06-05
273;22;2021-06-15
359;25;2021-06-13
100;10;2021-06-27
334;15;2021-06-19
490;17;2021-06-17
173;3;2021-06-12
326;26;2021-06-11
5;32;2021-06-22
360;3;2021-06-10
348;17;2021-06-11
424;14;2021-06-17
246;25;2021-06-26
440;16;2021-06-15
472;11;2021-06-04
55;25;2021-06-26
50;11;2021-06-17
0;48;2021-06-18
210;18;2021-06-15
447;16;2021-06-10
335;12;2021-06-26
433;21;2021-06-24
161;21;2021-06-13
335;42;2021-06-24
446;14;2021-06-22
23;166;2021-06-14
131;7;2021-06-16
451;23;2021-06-26
283;15;2021-06-17
212;6;2021-06-19
277;12;2021-06-17
305;8;2021-06-09
307;53;2021-06-13
351;33;2021-06-02
415;11;2021-06-04
490;11;2021-06-05
426;8;2021-06-09
314;14;2021-06-10
99;34;2021-06-14
297;15;2021-06-05
107;14;2021-06-21
7;227;2021-06-13
306;8;2021-06-21
136;11;2021-06-07
47;8;2021-06-27
467;13;2021-06-28
17;86;2021-06-14
43;23;2021-06-28
139;11;2021-06-21
354;38;2021-06-24
94;16;2021-06-28
37;126;2021-06-24
269;23;2021-06-13
251;15;2021-06-12
370;27;2021-06-06
318;24;2021-06-18
372;12;2021-06-13
54;11;2021-06-01
189;19;2021-06-15
225;11;2021-06-28
372;5;2021-06-08
157;18;2021-06-27
144;7;2021-06-26
2;36;2021-06-06
126;16;2021-06-23
353;16;2021-06-12
388;14;2021-06-11
295;12;2021-06-16
281;21;2021-06-04
109;16;2021-06-16
57;7;2021-06-18
114;21;2021-06-05
86;32;2021-06-15
329;14;2021-06-07
250;14;2021-06-26
464;35;2021-06-23
370;14;2021-06-02
283;19;2021-06-10
181;10;2021-06-10
246;22;2021-06-23
434;16;2021-06-07
404;16;2021-06-08
444;32;2021-06-11
351;14;2021-06-21
254;11;2021-06-20
146;15;2021-06-12
48;21;2021-06-28
473;19;2021-06-13
476;20;2021-06-13
161;12;2021-06-11
237;14;2021-06-09
142;6;2021-06-05
77;28;2021-06-22
128;16;2021-06-06
103;23;2021-06-08
69;11;2021-06-22
471;17;2021-06-15
421;32;2021-06-10
250;21;2021-06-12
183;17;2021-06-15
30;139;2021-06-24
472;15;2021-06-25
117;16;2021-06-02
106;31;2021-06-14
372;30;2021-06-02
473;20;2021-06-02
140;72;2021-06-13
78;21;2021-06-05
27;14;2021-06-28
210;14;2021-06-01
180;29;2021-06-12
234;12;2021-06-13
213;31;2021-06-12
267;18;2021-06-13
16;8;2021-06-11
311;18;2021-06-19
49;20;2021-06-25
233;10;2021-06-28
279;15;2021-06-12
451;20;2021-06-24
42;17;2021-06-21
356;17;2021-06-08
161;8;2021-06-21
228;19;2021-06-17
93;30;2021-06-23
25;18;2021-06-10
204;67;2021-06-24
36;23;2021-06-22
63;18;2021-06-08
299;20;2021-06-01
285;10;2021-06-18
290;4;2021-06-09
196;27;2021-06-23
158;49;2021-06-20
471;18;2021-06-11
135;65;2021-06-23
259;23;2021-06-15
337;13;2021-06-28
397;6;2021-06-15
157;79;2021-06-14
490;9;2021-06-18
115;26;2021-06-12
440;10;2021-06-28
390;24;2021-06-11
273;35;2021-06-13
387;20;2021-06-07
383;32;2021-06-24
133;35;2021-06-17
490;8;2021-06-09
352;34;2021-06-14
173;21;2021-06-10
186;24;2021-06-13
243;10;2021-06-20
311;14;2021-06-06
114;10;2021-06-28
344;29;2021-06-02
141;19;2021-06-05
16;12;2021-06-05
434;4;2021-06-20
144;12;2021-06-09
39;11;2021-06-15
346;11;2021-06-28
159;18;2021-06-10
131;20;2021-06-15
73;99;2021-06-13
58;29;2021-06-02
206;32;2021-06-24
97;21;2021-06-20
419;17;2021-06-05
41;18;2021-06-27
238;19;2021-06-28
331;13;2021-06-18
358;5;2021-06-11
453;5;2021-06-21
424;20;2021-06-27
282;7;2021-06-13
65;15;2021-06-25
352;31;2021-06-01
380;23;2021-06-19
94;10;2021-06-02
330;11;2021-06-04
276;20;2021-06-28
113;32;2021-06-23
430;9;2021-06-16
433;17;2021-06-15
60;11;2021-06-19
10;21;2021-06-28
15;23;2021-06-22
269;28;2021-06-08
374;14;2021-06-27
304;19;2021-06-02
61;12;2021-06-09
278;21;2021-06-17
153;21;2021-06-15
263;20;2021-06-08
316;17;2021-06-15
163;32;2021-06-01
251;20;2021-06-07
62;9;2021-06-05
35;33;2021-06-14
198;7;2021-06-26
361;5;2021-06-19
415;6;2021-06-11
192;11;2021-06-03
120;32;2021-06-23
108;27;2021-06-19
116;11;2021-06-19
350;33;2021-06-07
483;19;2021-06-02
154;5;2021-06-01
80;104;2021-06-24
134;71;2021-06-13
321;13;2021-06-01
151;18;2021-06-08
371;15;2021-06-08
128;6;2021-06-10
139;17;2021-06-13
1;33;2021-06-04
54;8;2021-06-26
401;13;2021-06-27
324;10;2021-06-26
480;12;2021-06-28
70;12;2021-06-28
457;12;2021-06-26
394;18;2021-06-23
319;25;2021-06-26
295;17;2021-06-04
150;20;2021-06-25
359;8;2021-06-18
400;27;2021-06-22
11;35;2021-06-21
251;26;2021-06-14
47;53;2021-06-24
170;63;2021-06-14
220;11;2021-06-12
45;11;2021-06-08
11;23;2021-06-19
209;10;2021-06-05
117;78;2021-06-14
126;25;2021-06-09
401;29;2021-06-14
345;20;2021-06-06
236;35;2021-06-24
224;14;2021-06-05
159;9;2021-06-21
66;14;2021-06-19
22;144;2021-06-24
312;20;2021-06-04
175;10;2021-06-22
420;33;2021-06-15
471;17;2021-06-23
341;18;2021-06-15
18;10;2021-06-04
245;15;2021-06-10
328;22;2021-06-28
88;19;2021-06-05
176;22;2021-06-20
155;15;2021-06-18
87;21;2021-06-20
0;34;2021-06-25
495;10;2021-06-14
55;7;2021-06-01
397;40;2021-06-07
396;30;2021-06-14
49;38;2021-06-15
193;27;2021-06-21
338;14;2021-06-12
201;14;2021-06-12
207;23;2021-06-15
268;36;2021-06-23
304;12;2021-06-25
338;13;2021-06-15
291;19;2021-06-19
363;7;2021-06-17
335;13;2021-06-28
298;17;2021-06-09
306;14;2021-06-27
289;27;2021-06-08
364;4;2021-06-05
440;16;2021-06-04
220;7;2021-06-22
138;34;2021-06-24
187;24;2021-06-19
330;22;2021-06-07
25;18;2021-06-20
371;28;2021-06-01
162;31;2021-06-01
309;52;2021-06-13
344;44;2021-06-24
415;23;2021-06-02
17;166;2021-06-13
493;16;2021-06-02
439;7;2021-06-16
446;19;2021-06-15
105;28;2021-06-05
307;16;2021-06-22
259;23;2021-06-21
434;38;2021-06-23
20;25;2021-06-01
23;12;2021-06-09
38;32;2021-06-12
108;17;2021-06-12
216;15;2021-06-04
238;13;2021-06-22
14;15;2021-06-07
234;12;2021-06-12
379;21;2021-06-11
124;6;2021-06-20
15;13;2021-06-12
359;15;2021-06-07
250;39;2021-06-13
131;38;2021-06-13
179;77;2021-06-14
208;53;2021-06-14
347;7;2021-06-04
74;16;2021-06-12
141;6;2021-06-07
382;15;2021-06-12
101;18;2021-06-16
110;12;2021-06-27
15;20;2021-06-02
167;21;2021-06-09
121;10;2021-06-01
238;10;2021-06-02
1;17;2021-06-20
113;21;2021-06-25
231;26;2021-06-09
278;18;2021-06-06
292;14;2021-06-26
409;5;2021-06-17
76;32;2021-06-12
15;30;2021-06-09
118;20;2021-06-18
360;5;2021-06-26
388;33;2021-06-22
60;14;2021-06-02
280;18;2021-06-21
75;14;2021-06-27
330;15;2021-06-21
86;11;2021-06-27
33;18;2021-06-02
134;10;2021-06-20
435;40;2021-06-24
124;23;2021-06-01
55;10;2021-06-10
133;69;2021-06-14
84;24;2021-06-26
202;21;2021-06-12
387;17;2021-06-09
406;11;2021-06-12
173;11;2021-06-02
121;21;2021-06-28
139;23;2021-06-14
9;11;2021-06-09
55;58;2021-06-23
169;20;2021-06-16
467;13;2021-06-05
275;18;2021-06-07
334;21;2021-06-20
5;23;2021-06-08
193;51;2021-06-23
438;30;2021-06-27
348;13;2021-06-05
467;17;2021-06-21
52;20;2021-06-04
3;27;2021-06-01
246;8;2021-06-06
19;15;2021-06-10
382;20;2021-06-03
427;17;2021-06-06
467;14;2021-06-08
328;16;2021-06-16
141;6;2021-06-18
223;33;2021-06-14
165;15;2021-06-09
38;20;2021-06-22
467;19;2021-06-02
446;9;2021-06-26
8;10;2021-06-05
453;8;2021-06-27
4;20;2021-06-26
50;17;2021-06-21
117;12;2021-06-09
405;42;2021-06-13
333;35;2021-06-14
203;24;2021-06-08
99;19;2021-06-23
208;13;2021-06-06
185;21;2021-06-08
416;6;2021-06-01
72;8;2021-06-19
454;20;2021-06-07
238;14;2021-06-17
407;15;2021-06-24
477;22;2021-06-27
461;34;2021-06-14
438;21;2021-06-13
9;23;2021-06-18
60;13;2021-06-21
281;15;2021-06-28
22;31;2021-06-06
282;22;2021-06-11
123;14;2021-06-07
167;37;2021-06-20
418;18;2021-06-11
401;41;2021-06-17
437;23;2021-06-08
202;46;2021-06-14
222;14;2021-06-11
353;9;2021-06-15
405;11;2021-06-28
90;21;2021-06-16
101;30;2021-06-03
367;8;2021-06-16
333;11;2021-06-10
470;10;2021-06-05
389;18;2021-06-12
94;4;2021-06-09
205;25;2021-06-02
409;18;2021-06-21
355;19;2021-06-25
391;12;2021-06-02
31;14;2021-06-09
127;19;2021-06-12
66;8;2021-06-28
30;110;2021-06-13
115;16;2021-06-21
207;22;2021-06-09
79;22;2021-06-25
464;22;2021-06-11
456;32;2021-06-15
207;14;2021-06-07
255;70;2021-06-23
378;14;2021-06-20
176;30;2021-06-10
473;18;2021-06-16
122;12;2021-06-18
36;18;2021-06-21
348;12;2021-06-28
398;42;2021-06-23
82;10;2021-06-18
72;10;2021-06-21
75;18;2021-06-12
96;11;2021-06-09
311;21;2021-06-15
333;29;2021-06-21
288;9;2021-06-15
69;4;2021-06-09
100;16;2021-06-06
81;30;2021-06-21
135;11;2021-06-03
62;77;2021-06-24
259;7;2021-06-07
467;11;2021-06-23
78;20;2021-06-20
440;22;2021-06-18
267;37;2021-06-23
214;9;2021-06-11
303;18;2021-06-22
325;18;2021-06-10
24;3;2021-06-17
290;21;2021-06-07
198;26;2021-06-01
146;63;2021-06-24
39;11;2021-06-21
180;12;2021-06-21
131;11;2021-06-10
287;20;2021-06-07
230;14;2021-06-17
147;10;2021-06-10
140;16;2021-06-09
150;34;2021-06-01
108;51;2021-06-24
2;29;2021-06-20
389;8;2021-06-16
67;19;2021-06-21
427;12;2021-06-05
258;26;2021-06-12
31;15;2021-06-22
307;2;2021-06-27
406;12;2021-06-22
211;28;2021-06-05
30;17;2021-06-27
399;10;2021-06-02
12;12;2021-06-11
90;7;2021-06-12
75;92;2021-06-24
97;36;2021-06-14
237;8;2021-06-04
145;8;2021-06-16
257;14;2021-06-09
367;12;2021-06-17
8;6;2021-06-18
137;19;2021-06-20
382;14;2021-06-18
212;20;2021-06-17
152;13;2021-06-06
467;11;2021-06-20
442;37;2021-06-14
238;56;2021-06-14
94;8;2021-06-01
252;18;2021-06-13
433;20;2021-06-26
377;33;2021-06-14
91;12;2021-06-02
495;19;2021-06-18
373;31;2021-06-24
62;11;2021-06-11
300;20;2021-06-11
464;18;2021-06-03
249;50;2021-06-24
159;19;2021-06-27
173;7;2021-06-06
32;12;2021-06-12
50;14;2021-06-22
223;11;2021-06-08
363;19;2021-06-12
22;13;2021-06-04
429;17;2021-06-22
89;6;2021-06-17
460;10;2021-06-13
310;9;2021-06-12
81;71;2021-06-14
338;31;2021-06-02
231;55;2021-06-24
225;31;2021-06-25
87;6;2021-06-10
477;12;2021-06-22
75;16;2021-06-05
485;11;2021-06-03
165;7;2021-06-05
238;24;2021-06-13
375;22;2021-06-16
249;7;2021-06-04
491;8;2021-06-19
398;13;2021-06-03
389;14;2021-06-21
93;12;2021-06-22
489;11;2021-06-22
198;10;2021-06-21
42;17;2021-06-11
119;31;2021-06-23
92;59;2021-06-14
106;13;2021-06-06
462;8;2021-06-01
471;16;2021-06-05
91;6;2021-06-22
379;7;2021-06-12
359;8;2021-06-27
179;19;2021-06-15
235;15;2021-06-04
372;5;2021-06-21
116;14;2021-06-22
183;24;2021-06-09
88;15;2021-06-23
266;19;2021-06-23
402;32;2021-06-28
311;20;2021-06-11
148;41;2021-06-12
343;20;2021-06-28
38;11;2021-06-19
443;16;2021-06-04
118;8;2021-06-07
242;19;2021-06-12
85;30;2021-06-11
13;28;2021-06-25
60;28;2021-06-18
17;21;2021-06-03
323;20;2021-06-09
281;13;2021-06-15
410;25;2021-06-14
263;19;2021-06-17
152;36;2021-06-23
418;17;2021-06-14
93;4;2021-06-26
419;12;2021-06-21
334;32;2021-06-16
380;21;2021-06-16
335;37;2021-06-12
229;17;2021-06-03
43;17;2021-06-26
64;11;2021-06-12
205;20;2021-06-21
345;43;2021-06-14
419;6;2021-06-02
148;19;2021-06-02
220;22;2021-06-02
235;6;2021-06-18
208;48;2021-06-13
392;17;2021-06-21
361;4;2021-06-18
367;13;2021-06-25
462;5;2021-06-07
259;18;2021-06-05
335;22;2021-06-21
48;9;2021-06-16
395;10;2021-06-05
34;15;2021-06-20
461;8;2021-06-02
225;9;2021-06-04
161;21;2021-06-06
173;17;2021-06-21
74;12;2021-06-02
358;10;2021-06-12
26;30;2021-06-19
423;15;2021-06-10
387;13;2021-06-28
215;19;2021-06-18
395;32;2021-06-24
148;29;2021-06-19
164;13;2021-06-25
122;34;2021-06-13
425;23;2021-06-08
397;17;2021-06-13
69;87;2021-06-24
104;20;2021-06-05
325;23;2021-06-12
236;15;2021-06-15
320;17;2021-06-02
112;11;2021-06-17
54;19;2021-06-15
339;4;2021-06-15
232;39;2021-06-23
68;7;2021-06-27
412;16;2021-06-22
326;14;2021-06-21
174;10;2021-06-02
58;8;2021-06-18
234;14;2021-06-01
259;18;2021-06-19
147;22;2021-06-19
151;23;2021-06-10
153;75;2021-06-13
410;12;2021-06-21
209;14;2021-06-01
10;15;2021-06-19
180;20;2021-06-11
156;13;2021-06-27
323;12;2021-06-11
467;16;2021-06-09
87;23;2021-06-16
390;14;2021-06-07
8;8;2021-06-21
77;30;2021-06-04
140;10;2021-06-05
226;19;2021-06-09
440;14;2021-06-12
278;16;2021-06-25
299;19;2021-06-05
261;34;2021-06-07
75;20;2021-06-18
419;11;2021-06-11
437;16;2021-06-09
395;32;2021-06-21
315;18;2021-06-05
390;38;2021-06-03
263;6;2021-06-03
454;20;2021-06-21
191;47;2021-06-14
287;8;2021-06-18
146;15;2021-06-27
256;12;2021-06-09
82;92;2021-06-24
67;16;2021-06-02
67;10;2021-06-06
8;14;2021-06-19
44;7;2021-06-03
155;16;2021-06-20
236;12;2021-06-25
235;12;2021-06-02
259;12;2021-06-23
38;9;2021-06-25
157;36;2021-06-23
87;30;2021-06-24
137;15;2021-06-28
449;4;2021-06-01
183;16;2021-06-18
21;30;2021-06-18
476;12;2021-06-21
114;30;2021-06-21
130;7;2021-06-19
106;78;2021-06-24
157;16;2021-06-20
277;43;2021-06-24
237;21;2021-06-11
361;10;2021-06-20
47;24;2021-06-11
197;10;2021-06-07
30;9;2021-06-18
133;6;2021-06-06
196;23;2021-06-15
103;11;2021-06-10
